UF	CITY	POPULATION
RO	Alta Floresta D'Oeste	23857
RO	Alto Alegre dos Parecis	11615
RO	Alto Paraíso	16758
RO	Alvorada D'Oeste	16485
RO	Ariquemes	82388
RO	Buritis	33072
RO	Cabixi	6575
RO	Cacaulândia	5553
RO	Cacoal	76155
RO	Campo Novo de Rondônia	12455
RO	Candeias do Jamari	16736
RO	Castanheiras	3624
RO	Cerejeiras	16290
RO	Chupinguaia	7456
RO	Colorado do Oeste	17644
RO	Corumbiara	9476
RO	Costa Marques	13664
RO	Cujubim	13857
RO	Espigão D'Oeste	27867
RO	Governador Jorge Teixeira	11432
RO	Guajará-Mirim	39451
RO	Itapuã do Oeste	7905
RO	Jaru	52453
RO	Ji-Paraná	107679
RO	Machadinho D'Oeste	31475
RO	Ministro Andreazza	10343
RO	Mirante da Serra	12086
RO	Monte Negro	12357
RO	Nova Brasilândia D'Oeste	17170
RO	Nova Mamoré	21162
RO	Nova União	7750
RO	Novo Horizonte do Oeste	9648
RO	Ouro Preto do Oeste	36040
RO	Parecis	4583
RO	Pimenta Bueno	32893
RO	Pimenteiras do Oeste	2358
RO	Porto Velho	369345
RO	Presidente Médici	22197
RO	Primavera de Rondônia	3704
RO	Rio Crespo	3174
RO	Rolim de Moura	48894
RO	Santa Luzia D'Oeste	9264
RO	São Felipe D'Oeste	6286
RO	São Francisco do Guaporé	15710
RO	São Miguel do Guaporé	22622
RO	Seringueiras	11757
RO	Teixeirópolis	4919
RO	Theobroma	9952
RO	Urupá	13381
RO	Vale do Anari	8751
RO	Vale do Paraíso	8742
RO	Vilhena	66746
AC	Acrelândia	11520
AC	Assis Brasil	5351
AC	Brasiléia	19065
AC	Bujari	6543
AC	Capixaba	8446
AC	Cruzeiro do Sul	73948
AC	Epitaciolândia	13434
AC	Feijó	31288
AC	Jordão	6059
AC	Mâncio Lima	13785
AC	Manoel Urbano	7148
AC	Marechal Thaumaturgo	13061
AC	Plácido de Castro	17258
AC	Porto Acre	13716
AC	Porto Walter	8170
AC	Rio Branco	290639
AC	Rodrigues Alves	12428
AC	Santa Rosa do Purus	3948
AC	Sena Madureira	34230
AC	Senador Guiomard	18863
AC	Tarauacá	32171
AC	Xapuri	14314
AM	Alvarães	13010
AM	Amaturá	8384
AM	Anamã	8152
AM	Anori	13834
AM	Apuí	17451
AM	Atalaia do Norte	13682
AM	Autazes	29907
AM	Barcelos	24567
AM	Barreirinha	26645
AM	Benjamin Constant	29268
AM	Beruri	13809
AM	Boa Vista do Ramos	13138
AM	Boca do Acre	29818
AM	Borba	31098
AM	Caapiranga	10547
AM	Canutama	11463
AM	Carauari	25110
AM	Careiro	31070
AM	Careiro da Várzea	23023
AM	Coari	65222
AM	Codajás	16025
AM	Eirunepé	29411
AM	Envira	16438
AM	Fonte Boa	19726
AM	Guajará	14102
AM	Humaitá	38559
AM	Ipixuna	17177
AM	Iranduba	32869
AM	Itacoatiara	84676
AM	Itamarati	8078
AM	Itapiranga	9141
AM	Japurá	5281
AM	Juruá	8658
AM	Jutaí	17129
AM	Lábrea	36909
AM	Manacapuru	82309
AM	Manaquiri	19164
AM	Manaus	1646602
AM	Manicoré	44327
AM	Maraã	17507
AM	Maués	47020
AM	Nhamundá	17553
AM	Nova Olinda do Norte	29184
AM	Novo Airão	14630
AM	Novo Aripuanã	18196
AM	Parintins	102044
AM	Pauini	18325
AM	Presidente Figueiredo	24360
AM	Rio Preto da Eva	24858
AM	Santa Isabel do Rio Negro	16921
AM	Santo Antônio do Içá	29249
AM	São Gabriel da Cachoeira	39130
AM	São Paulo de Olivença	30727
AM	São Sebastião do Uatumã	8731
AM	Silves	8211
AM	Tabatinga	45293
AM	Tapauá	19453
AM	Tefé	62920
AM	Tonantins	19090
AM	Uarini	9859
AM	Urucará	15716
AM	Urucurituba	17184
RR	Alto Alegre	14386
RR	Amajari	7586
RR	Boa Vista	249853
RR	Bonfim	10231
RR	Cantá	11119
RR	Caracaraí	17981
RR	Caroebe	7086
RR	Iracema	5863
RR	Mucajaí	12546
RR	Normandia	7118
RR	Pacaraima	8640
RR	Rorainópolis	24466
RR	São João da Baliza	5727
RR	São Luiz	5720
RR	Uiramutã	7403
PA	Abaetetuba	132222
PA	Abel Figueiredo	6592
PA	Acará	47923
PA	Afuá	31183
PA	Água Azul do Norte	28658
PA	Alenquer	52661
PA	Almeirim	30903
PA	Altamira	92105
PA	Anajás	24942
PA	Ananindeua	484278
PA	Anapu	17787
PA	Augusto Corrêa	37086
PA	Aurora do Pará	21239
PA	Aveiro	18830
PA	Bagre	18580
PA	Baião	26190
PA	Bannach	3812
PA	Barcarena	84560
PA	Belém	1408847
PA	Belterra	12707
PA	Benevides	43282
PA	Bom Jesus do Tocantins	13145
PA	Bonito	11279
PA	Bragança	101728
PA	Brasil Novo	18749
PA	Brejo Grande do Araguaia	7444
PA	Breu Branco	47069
PA	Breves	94458
PA	Bujaru	22535
PA	Cachoeira do Arari	18995
PA	Cachoeira do Piriá	17649
PA	Cametá	110323
PA	Canaã dos Carajás	23757
PA	Capanema	61350
PA	Capitão Poço	50839
PA	Castanhal	152126
PA	Chaves	19368
PA	Colares	10981
PA	Conceição do Araguaia	45267
PA	Concórdia do Pará	21422
PA	Cumaru do Norte	10452
PA	Curionópolis	17769
PA	Curralinho	25388
PA	Curuá	11928
PA	Curuçá	33768
PA	Dom Eliseu	38150
PA	Eldorado dos Carajás	28554
PA	Faro	17253
PA	Floresta do Araguaia	14964
PA	Garrafão do Norte	24619
PA	Goianésia do Pará	27166
PA	Gurupá	24384
PA	Igarapé-Açu	33778
PA	Igarapé-Miri	54673
PA	Inhangapi	9592
PA	Ipixuna do Pará	39563
PA	Irituia	29746
PA	Itaituba	118194
PA	Itupiranga	42002
PA	Jacareacanga	37073
PA	Jacundá	51511
PA	Juruti	33775
PA	Limoeiro do Ajuru	23284
PA	Mãe do Rio	27614
PA	Magalhães Barata	7650
PA	Marabá	196468
PA	Maracanã	28296
PA	Marapanim	26651
PA	Marituba	93416
PA	Medicilândia	22624
PA	Melgaço	17845
PA	Mocajuba	23258
PA	Moju	63821
PA	Monte Alegre	61350
PA	Muaná	28796
PA	Nova Esperança do Piriá	22447
PA	Nova Ipixuna	14086
PA	Nova Timboteua	12103
PA	Novo Progresso	21598
PA	Novo Repartimento	51645
PA	Óbidos	46793
PA	Oeiras do Pará	25420
PA	Oriximiná	55175
PA	Ourém	15152
PA	Ourilândia do Norte	20415
PA	Pacajá	38365
PA	Palestina do Pará	7156
PA	Paragominas	90819
PA	Parauapebas	133298
PA	Pau D'Arco	6466
PA	Peixe-Boi	7679
PA	Piçarra	12707
PA	Placas	17898
PA	Ponta de Pedras	24276
PA	Portel	45586
PA	Porto de Moz	26489
PA	Prainha	26436
PA	Primavera	10463
PA	Quatipuru	12620
PA	Redenção	64583
PA	Rio Maria	16993
PA	Rondon do Pará	45016
PA	Rurópolis	32950
PA	Salinópolis	37066
PA	Salvaterra	17077
PA	Santa Bárbara do Pará	13714
PA	Santa Cruz do Arari	5921
PA	Santa Isabel do Pará	51763
PA	Santa Luzia do Pará	18123
PA	Santa Maria das Barreiras	16012
PA	Santa Maria do Pará	22147
PA	Santana do Araguaia	49053
PA	Santarém	274285
PA	Santarém Novo	6007
PA	Santo Antônio do Tauá	24814
PA	São Caetano de Odivelas	16179
PA	São Domingos do Araguaia	21094
PA	São Domingos do Capim	27094
PA	São Félix do Xingu	59238
PA	São Francisco do Pará	11913
PA	São Geraldo do Araguaia	24872
PA	São João da Ponta	4715
PA	São João de Pirabas	18919
PA	São João do Araguaia	11673
PA	São Miguel do Guamá	42987
PA	São Sebastião da Boa Vista	20500
PA	Sapucaia	5117
PA	Senador José Porfírio	14302
PA	Soure	21395
PA	Tailândia	64281
PA	Terra Alta	9861
PA	Terra Santa	15316
PA	Tomé-Açu	47081
PA	Tracuateua	26129
PA	Trairão	16097
PA	Tucumã	26513
PA	Tucuruí	89264
PA	Ulianópolis	31881
PA	Uruará	59881
PA	Vigia	43847
PA	Viseu	53217
PA	Vitória do Xingu	9693
PA	Xinguara	38457
AP	Amapá	7492
AP	Calçoene	8656
AP	Cutias	4320
AP	Ferreira Gomes	5040
AP	Itaubal	3439
AP	Laranjal do Jari	37491
AP	Macapá	344153
AP	Mazagão	13862
AP	Oiapoque	19181
AP	Pedra Branca do Amapari	7332
AP	Porto Grande	13962
AP	Pracuúba	3353
AP	Santana	92098
AP	Serra do Navio	3772
AP	Tartarugalzinho	12395
AP	Vitória do Jari	10765
TO	Abreulândia	2245
TO	Aguiarnópolis	3995
TO	Aliança do Tocantins	5701
TO	Almas	7488
TO	Alvorada	7976
TO	Ananás	9358
TO	Angico	3169
TO	Aparecida do Rio Negro	4018
TO	Aragominas	5469
TO	Araguacema	5423
TO	Araguaçu	8989
TO	Araguaína	115759
TO	Araguanã	5000
TO	Araguatins	25973
TO	Arapoema	6839
TO	Arraias	10626
TO	Augustinópolis	14800
TO	Aurora do Tocantins	3385
TO	Axixá do Tocantins	8917
TO	Babaçulândia	10372
TO	Bandeirantes do Tocantins	2711
TO	Barra do Ouro	3581
TO	Barrolândia	5155
TO	Bernardo Sayão	4518
TO	Bom Jesus do Tocantins	2710
TO	Brasilândia do Tocantins	2119
TO	Brejinho de Nazaré	5295
TO	Buriti do Tocantins	8164
TO	Cachoeirinha	2171
TO	Campos Lindos	7615
TO	Cariri do Tocantins	3562
TO	Carmolândia	2313
TO	Carrasco Bonito	3314
TO	Caseara	4667
TO	Centenário	2386
TO	Chapada da Natividade	3680
TO	Chapada de Areia	1239
TO	Colinas do Tocantins	29298
TO	Colméia	8759
TO	Combinado	4878
TO	Conceição do Tocantins	4402
TO	Couto de Magalhães	4887
TO	Cristalândia	6520
TO	Crixás do Tocantins	1264
TO	Darcinópolis	5130
TO	Dianópolis	18584
TO	Divinópolis do Tocantins	6359
TO	Dois Irmãos do Tocantins	7060
TO	Dueré	4489
TO	Esperantina	8134
TO	Fátima	3984
TO	Figueirópolis	4820
TO	Filadélfia	7787
TO	Formoso do Araguaia	18225
TO	Fortaleza do Tabocão	2101
TO	Goianorte	5221
TO	Goiatins	11639
TO	Guaraí	21669
TO	Gurupi	71413
TO	Ipueiras	1698
TO	Itacajá	6386
TO	Itaguatins	6074
TO	Itapiratins	3421
TO	Itaporã do Tocantins	2989
TO	Jaú do Tocantins	3789
TO	Juarina	2141
TO	Lagoa da Confusão	8220
TO	Lagoa do Tocantins	3179
TO	Lajeado	2159
TO	Lavandeira	1590
TO	Lizarda	3634
TO	Luzinópolis	2784
TO	Marianópolis do Tocantins	4473
TO	Mateiros	1737
TO	Maurilândia do Tocantins	3185
TO	Miracema do Tocantins	19683
TO	Miranorte	11858
TO	Monte do Carmo	6387
TO	Monte Santo do Tocantins	1858
TO	Muricilândia	2850
TO	Natividade	9090
TO	Nazaré	4528
TO	Nova Olinda	10518
TO	Nova Rosalândia	3772
TO	Novo Acordo	3754
TO	Novo Alegre	1801
TO	Novo Jardim	2419
TO	Oliveira de Fátima	1081
TO	Palmas	178386
TO	Palmeirante	4689
TO	Palmeiras do Tocantins	4542
TO	Palmeirópolis	8120
TO	Paraíso do Tocantins	40290
TO	Paranã	10491
TO	Pau D'Arco	4767
TO	Pedro Afonso	10294
TO	Peixe	8750
TO	Pequizeiro	4799
TO	Pindorama do Tocantins	4397
TO	Piraquê	3014
TO	Pium	6403
TO	Ponte Alta do Bom Jesus	4529
TO	Ponte Alta do Tocantins	6569
TO	Porto Alegre do Tocantins	2830
TO	Porto Nacional	45289
TO	Praia Norte	7060
TO	Presidente Kennedy	3680
TO	Pugmil	2165
TO	Recursolândia	3665
TO	Riachinho	3691
TO	Rio da Conceição	1454
TO	Rio dos Bois	2092
TO	Rio Sono	6167
TO	Sampaio	3672
TO	Sandolândia	3443
TO	Santa Fé do Araguaia	5610
TO	Santa Maria do Tocantins	2673
TO	Santa Rita do Tocantins	2260
TO	Santa Rosa do Tocantins	4417
TO	Santa Tereza do Tocantins	2297
TO	Santa Terezinha do Tocantins	2291
TO	São Bento do Tocantins	4447
TO	São Félix do Tocantins	1409
TO	São Miguel do Tocantins	10221
TO	São Salvador do Tocantins	3012
TO	São Sebastião do Tocantins	4244
TO	São Valério da Natividade	4885
TO	Silvanópolis	5098
TO	Sítio Novo do Tocantins	9302
TO	Sucupira	1667
TO	Taguatinga	14110
TO	Taipas do Tocantins	1916
TO	Talismã	2555
TO	Tocantínia	6663
TO	Tocantinópolis	21334
TO	Tupirama	1405
TO	Tupiratins	2007
TO	Wanderlândia	9317
TO	Xambioá	10856
MA	Açailândia	97034
MA	Afonso Cunha	5651
MA	Água Doce do Maranhão	11829
MA	Alcântara	21349
MA	Aldeias Altas	21645
MA	Altamira do Maranhão	7365
MA	Alto Alegre do Maranhão	22002
MA	Alto Alegre do Pindaré	31992
MA	Alto Parnaíba	10304
MA	Amapá do Maranhão	6168
MA	Amarante do Maranhão	35727
MA	Anajatuba	23941
MA	Anapurus	12580
MA	Apicum-Açu	13216
MA	Araguanã	9918
MA	Araioses	37655
MA	Arame	27229
MA	Arari	27753
MA	Axixá	14249
MA	Bacabal	95124
MA	Bacabeira	14611
MA	Bacuri	16026
MA	Bacurituba	5425
MA	Balsas	78845
MA	Barão de Grajaú	16565
MA	Barra do Corda	78718
MA	Barreirinhas	47850
MA	Bela Vista do Maranhão	8603
MA	Belágua	5717
MA	Benedito Leite	5387
MA	Bequimão	20735
MA	Bernardo do Mearim	5972
MA	Boa Vista do Gurupi	7385
MA	Bom Jardim	37659
MA	Bom Jesus das Selvas	23827
MA	Bom Lugar	12825
MA	Brejo	31049
MA	Brejo de Areia	5803
MA	Buriti	25274
MA	Buriti Bravo	22279
MA	Buriticupu	61480
MA	Buritirana	12596
MA	Cachoeira Grande	8831
MA	Cajapió	9982
MA	Cajari	12842
MA	Campestre do Maranhão	12246
MA	Cândido Mendes	18820
MA	Cantanhede	18827
MA	Capinzal do Norte	10385
MA	Carolina	24442
MA	Carutapera	20285
MA	Caxias	143197
MA	Cedral	9841
MA	Central do Maranhão	8776
MA	Centro do Guilherme	7094
MA	Centro Novo do Maranhão	15127
MA	Chapadinha	67649
MA	Cidelândia	12407
MA	Codó	110574
MA	Coelho Neto	44031
MA	Colinas	35692
MA	Conceição do Lago-Açu	14063
MA	Coroatá	60589
MA	Cururupu	34018
MA	Davinópolis	11786
MA	Dom Pedro	21479
MA	Duque Bacelar	10384
MA	Esperantinópolis	18569
MA	Estreito	26490
MA	Feira Nova do Maranhão	7648
MA	Fernando Falcão	8105
MA	Formosa da Serra Negra	16882
MA	Fortaleza dos Nogueiras	11578
MA	Fortuna	14486
MA	Godofredo Viana	10452
MA	Gonçalves Dias	16444
MA	Governador Archer	9920
MA	Governador Edison Lobão	14086
MA	Governador Eugênio Barros	15857
MA	Governador Luiz Rocha	6884
MA	Governador Newton Bello	11346
MA	Governador Nunes Freire	24012
MA	Graça Aranha	6254
MA	Grajaú	54135
MA	Guimarães	12387
MA	Humberto de Campos	24275
MA	Icatu	24432
MA	Igarapé do Meio	11697
MA	Igarapé Grande	10676
MA	Imperatriz	229671
MA	Itaipava do Grajaú	13197
MA	Itapecuru Mirim	54573
MA	Itinga do Maranhão	25100
MA	Jatobá	8255
MA	Jenipapo dos Vieiras	14815
MA	João Lisboa	19928
MA	Joselândia	15583
MA	Junco do Maranhão	4014
MA	Lago da Pedra	42666
MA	Lago do Junco	9616
MA	Lago dos Rodrigues	7780
MA	Lago Verde	14580
MA	Lagoa do Mato	10225
MA	Lagoa Grande do Maranhão	9015
MA	Lajeado Novo	6620
MA	Lima Campos	11365
MA	Loreto	10340
MA	Luís Domingues	6672
MA	Magalhães de Almeida	14217
MA	Maracaçumé	17537
MA	Marajá do Sena	6790
MA	Maranhãozinho	11887
MA	Mata Roma	13812
MA	Matinha	20422
MA	Matões	28278
MA	Matões do Norte	10576
MA	Milagres do Maranhão	7617
MA	Mirador	19445
MA	Miranda do Norte	17742
MA	Mirinzal	13786
MA	Monção	27558
MA	Montes Altos	8828
MA	Morros	17077
MA	Nina Rodrigues	10003
MA	Nova Colinas	4829
MA	Nova Iorque	4892
MA	Nova Olinda do Maranhão	17121
MA	Olho d'Água das Cunhãs	17361
MA	Olinda Nova do Maranhão	12068
MA	Paço do Lumiar	98175
MA	Palmeirândia	18105
MA	Paraibano	19453
MA	Parnarama	34912
MA	Passagem Franca	17085
MA	Pastos Bons	17507
MA	Paulino Neves	12799
MA	Paulo Ramos	16129
MA	Pedreiras	37984
MA	Pedro do Rosário	21714
MA	Penalva	33473
MA	Peri Mirim	12219
MA	Peritoró	19017
MA	Pindaré-Mirim	30927
MA	Pinheiro	74123
MA	Pio XII	21821
MA	Pirapemas	15043
MA	Poção de Pedras	15853
MA	Porto Franco	18692
MA	Porto Rico do Maranhão	6900
MA	Presidente Dutra	40004
MA	Presidente Juscelino	11705
MA	Presidente Médici	6058
MA	Presidente Sarney	15606
MA	Presidente Vargas	9798
MA	Primeira Cruz	11999
MA	Raposa	24201
MA	Riachão	21016
MA	Ribamar Fiquene	7170
MA	Rosário	37920
MA	Sambaíba	5792
MA	Santa Filomena do Maranhão	5526
MA	Santa Helena	34022
MA	Santa Inês	82026
MA	Santa Luzia	69306
MA	Santa Luzia do Paruá	19633
MA	Santa Quitéria do Maranhão	28341
MA	Santa Rita	30882
MA	Santana do Maranhão	10537
MA	Santo Amaro do Maranhão	11155
MA	Santo Antônio dos Lopes	14225
MA	São Benedito do Rio Preto	17191
MA	São Bento	37449
MA	São Bernardo	25480
MA	São Domingos do Azeitão	6953
MA	São Domingos do Maranhão	32557
MA	São Félix de Balsas	4398
MA	São Francisco do Brejão	8431
MA	São Francisco do Maranhão	14194
MA	São João Batista	18108
MA	São João do Carú	12281
MA	São João do Paraíso	11267
MA	São João do Soter	16592
MA	São João dos Patos	23576
MA	São José de Ribamar	131379
MA	São José dos Basílios	7282
MA	São Luís	957515
MA	São Luís Gonzaga do Maranhão	19655
MA	São Mateus do Maranhão	38045
MA	São Pedro da Água Branca	11113
MA	São Pedro dos Crentes	4020
MA	São Raimundo das Mangabeiras	15962
MA	São Raimundo do Doca Bezerra	4502
MA	São Roberto	4989
MA	São Vicente Ferrer	19692
MA	Satubinha	8399
MA	Senador Alexandre Costa	9071
MA	Senador La Rocque	20793
MA	Serrano do Maranhão	10576
MA	Sítio Novo	15549
MA	Sucupira do Norte	10235
MA	Sucupira do Riachão	4675
MA	Tasso Fragoso	6652
MA	Timbiras	26132
MA	Timon	144333
MA	Trizidela do Vale	18300
MA	Tufilândia	5517
MA	Tuntum	37894
MA	Turiaçu	32491
MA	Turilândia	20119
MA	Tutóia	46280
MA	Urbano Santos	21747
MA	Vargem Grande	43228
MA	Viana	47466
MA	Vila Nova dos Martírios	8671
MA	Vitória do Mearim	30935
MA	Vitorino Freire	30235
MA	Zé Doca	45008
PI	Acauã	6300
PI	Agricolândia	4980
PI	Água Branca	15887
PI	Alagoinha do Piauí	7447
PI	Alegrete do Piauí	4482
PI	Alto Longá	13612
PI	Altos	38328
PI	Alvorada do Gurguéia	4976
PI	Amarante	17316
PI	Angical do Piauí	6609
PI	Anísio de Abreu	8197
PI	Antônio Almeida	3140
PI	Aroazes	5857
PI	Aroeiras do Itaim	2654
PI	Arraial	5002
PI	Assunção do Piauí	8011
PI	Avelino Lopes	11507
PI	Baixa Grande do Ribeiro	10232
PI	Barra D'Alcântara	3774
PI	Barras	43328
PI	Barreiras do Piauí	3355
PI	Barro Duro	6661
PI	Batalha	25724
PI	Bela Vista do Piauí	3344
PI	Belém do Piauí	2788
PI	Beneditinos	9560
PI	Bertolínia	5302
PI	Betânia do Piauí	9312
PI	Boa Hora	6086
PI	Bocaina	4039
PI	Bom Jesus	19532
PI	Bom Princípio do Piauí	5276
PI	Bonfim do Piauí	5185
PI	Boqueirão do Piauí	6325
PI	Brasileira	7699
PI	Brejo do Piauí	3181
PI	Buriti dos Lopes	19150
PI	Buriti dos Montes	7820
PI	Cabeceiras do Piauí	9438
PI	Cajazeiras do Piauí	3193
PI	Cajueiro da Praia	6981
PI	Caldeirão Grande do Piauí	5622
PI	Campinas do Piauí	5598
PI	Campo Alegre do Fidalgo	4451
PI	Campo Grande do Piauí	5645
PI	Campo Largo do Piauí	6726
PI	Campo Maior	44548
PI	Canavieira	3984
PI	Canto do Buriti	20673
PI	Capitão de Campos	10830
PI	Capitão Gervásio Oliveira	3865
PI	Caracol	10343
PI	Caraúbas do Piauí	5371
PI	Caridade do Piauí	4583
PI	Castelo do Piauí	18550
PI	Caxingó	5023
PI	Cocal	26201
PI	Cocal de Telha	4522
PI	Cocal dos Alves	5341
PI	Coivaras	3797
PI	Colônia do Gurguéia	5700
PI	Colônia do Piauí	7662
PI	Conceição do Canindé	4923
PI	Coronel José Dias	4356
PI	Corrente	24518
PI	Cristalândia do Piauí	7800
PI	Cristino Castro	9518
PI	Curimatá	10360
PI	Currais	4538
PI	Curral Novo do Piauí	4898
PI	Curralinhos	4072
PI	Demerval Lobão	12806
PI	Dirceu Arcoverde	6721
PI	Dom Expedito Lopes	6532
PI	Dom Inocêncio	10329
PI	Domingos Mourão	4312
PI	Elesbão Veloso	14174
PI	Eliseu Martins	4722
PI	Esperantina	36190
PI	Fartura do Piauí	5190
PI	Flores do Piauí	4468
PI	Floresta do Piauí	2551
PI	Floriano	56090
PI	Francinópolis	5292
PI	Francisco Ayres	5017
PI	Francisco Macedo	2255
PI	Francisco Santos	8293
PI	Fronteiras	11054
PI	Geminiano	5255
PI	Gilbués	10351
PI	Guadalupe	9587
PI	Guaribas	4343
PI	Hugo Napoleão	3674
PI	Ilha Grande	8420
PI	Inhuma	14973
PI	Ipiranga do Piauí	9354
PI	Isaías Coelho	7790
PI	Itainópolis	11084
PI	Itaueira	10558
PI	Jacobina do Piauí	5597
PI	Jaicós	16826
PI	Jardim do Mulato	4171
PI	Jatobá do Piauí	4523
PI	Jerumenha	4371
PI	João Costa	3199
PI	Joaquim Pires	13779
PI	Joca Marques	5345
PI	José de Freitas	35164
PI	Juazeiro do Piauí	4769
PI	Júlio Borges	5250
PI	Jurema	4388
PI	Lagoa Alegre	7862
PI	Lagoa de São Francisco	6520
PI	Lagoa do Barro do Piauí	4543
PI	Lagoa do Piauí	3684
PI	Lagoa do Sítio	5042
PI	Lagoinha do Piauí	2563
PI	Landri Sales	5586
PI	Luís Correia	26147
PI	Luzilândia	24323
PI	Madeiro	7680
PI	Manoel Emídio	5357
PI	Marcolândia	7154
PI	Marcos Parente	4198
PI	Massapê do Piauí	6428
PI	Matias Olímpio	10465
PI	Miguel Alves	32178
PI	Miguel Leão	1194
PI	Milton Brandão	7030
PI	Monsenhor Gil	10321
PI	Monsenhor Hipólito	7163
PI	Monte Alegre do Piauí	10335
PI	Morro Cabeça no Tempo	4241
PI	Morro do Chapéu do Piauí	6377
PI	Murici dos Portelas	7655
PI	Nazaré do Piauí	6947
PI	Nossa Senhora de Nazaré	4048
PI	Nossa Senhora dos Remédios	8044
PI	Nova Santa Rita	4284
PI	Novo Oriente do Piauí	6191
PI	Novo Santo Antônio	3383
PI	Oeiras	35075
PI	Olho D'Água do Piauí	2637
PI	Padre Marcos	7340
PI	Paes Landim	4462
PI	Pajeú do Piauí	3616
PI	Palmeira do Piauí	4985
PI	Palmeirais	13721
PI	Paquetá	4531
PI	Parnaguá	10313
PI	Parnaíba	140839
PI	Passagem Franca do Piauí	4127
PI	Patos do Piauí	6171
PI	Pau D'Arco do Piauí	3713
PI	Paulistana	16930
PI	Pavussu	4291
PI	Pedro II	36675
PI	Pedro Laurentino	2105
PI	Picos	70450
PI	Pimenteiras	11722
PI	Pio IX	17123
PI	Piracuruca	25625
PI	Piripiri	60249
PI	Porto	11492
PI	Porto Alegre do Piauí	2468
PI	Prata do Piauí	3159
PI	Queimada Nova	9146
PI	Redenção do Gurguéia	8263
PI	Regeneração	17633
PI	Riacho Frio	4884
PI	Ribeira do Piauí	4103
PI	Ribeiro Gonçalves	6577
PI	Rio Grande do Piauí	6430
PI	Santa Cruz do Piauí	5790
PI	Santa Cruz dos Milagres	3352
PI	Santa Filomena	5999
PI	Santa Luz	5280
PI	Santa Rosa do Piauí	5149
PI	Santana do Piauí	4841
PI	Santo Antônio de Lisboa	5729
PI	Santo Antônio dos Milagres	1965
PI	Santo Inácio do Piauí	3626
PI	São Braz do Piauí	4311
PI	São Félix do Piauí	3132
PI	São Francisco de Assis do Piauí	5015
PI	São Francisco do Piauí	6276
PI	São Gonçalo do Gurguéia	2455
PI	São Gonçalo do Piauí	4342
PI	São João da Canabrava	4364
PI	São João da Fronteira	5008
PI	São João da Serra	6672
PI	São João da Varjota	4776
PI	São João do Arraial	7081
PI	São João do Piauí	18689
PI	São José do Divino	5045
PI	São José do Peixe	3730
PI	São José do Piauí	6808
PI	São Julião	5908
PI	São Lourenço do Piauí	4899
PI	São Luis do Piauí	2596
PI	São Miguel da Baixa Grande	2083
PI	São Miguel do Fidalgo	3078
PI	São Miguel do Tapuio	19201
PI	São Pedro do Piauí	13083
PI	São Raimundo Nonato	30852
PI	Sebastião Barros	4178
PI	Sebastião Leal	4080
PI	Sigefredo Pacheco	9506
PI	Simões	13734
PI	Simplício Mendes	11472
PI	Socorro do Piauí	4599
PI	Sussuapara	5537
PI	Tamboril do Piauí	2897
PI	Tanque do Piauí	2605
PI	Teresina	779939
PI	União	41661
PI	Uruçuí	19017
PI	Valença do Piauí	19716
PI	Várzea Branca	5178
PI	Várzea Grande	4429
PI	Vera Mendes	3097
PI	Vila Nova do Piauí	3030
PI	Wall Ferraz	4452
CE	Abaiara	10227
CE	Acarape	14658
CE	Acaraú	52123
CE	Acopiara	48703
CE	Aiuaba	15585
CE	Alcântaras	10270
CE	Altaneira	6417
CE	Alto Santo	19154
CE	Amontada	37513
CE	Antonina do Norte	6761
CE	Apuiarés	13649
CE	Aquiraz	67265
CE	Aracati	66049
CE	Aracoiaba	24423
CE	Ararendá	10649
CE	Araripe	21214
CE	Aratuba	12129
CE	Arneiroz	7302
CE	Assaré	21616
CE	Aurora	24480
CE	Baixio	5780
CE	Banabuiú	17448
CE	Barbalha	50386
CE	Barreira	18453
CE	Barro	20673
CE	Barroquinha	14812
CE	Baturité	31669
CE	Beberibe	46155
CE	Bela Cruz	29566
CE	Boa Viagem	53538
CE	Brejo Santo	39613
CE	Camocim	58470
CE	Campos Sales	25553
CE	Canindé	73878
CE	Capistrano	16403
CE	Caridade	17977
CE	Cariré	18527
CE	Caririaçu	26325
CE	Cariús	18649
CE	Carnaubal	16001
CE	Cascavel	63932
CE	Catarina	17028
CE	Catunda	10508
CE	Caucaia	316906
CE	Cedro	24607
CE	Chaval	12215
CE	Choró	12790
CE	Chorozinho	18261
CE	Coreaú	21171
CE	Crateús	72386
CE	Crato	111198
CE	Croatá	17317
CE	Cruz	22144
CE	Deputado Irapuan Pinheiro	9108
CE	Ererê	6927
CE	Eusébio	38189
CE	Farias Brito	19244
CE	Forquilha	20181
CE	Fortaleza	2431415
CE	Fortim	14072
CE	Frecheirinha	12830
CE	General Sampaio	6540
CE	Graça	15297
CE	Granja	51410
CE	Granjeiro	4931
CE	Groaíras	9456
CE	Guaiúba	22405
CE	Guaraciaba do Norte	36705
CE	Guaramiranga	4307
CE	Hidrolândia	18534
CE	Horizonte	48660
CE	Ibaretama	12735
CE	Ibiapina	23088
CE	Ibicuitinga	11000
CE	Icapuí	18186
CE	Icó	63262
CE	Iguatu	92260
CE	Independência	25413
CE	Ipaporanga	11353
CE	Ipaumirim	11591
CE	Ipu	39438
CE	Ipueiras	38044
CE	Iracema	14313
CE	Irauçuba	21921
CE	Itaiçaba	7462
CE	Itaitinga	31107
CE	Itapagé	45426
CE	Itapipoca	107281
